"","CO_ANO","CO_MES","CO_NCM","CO_UNID","CO_PAIS","SG_UF_NCM","CO_VIA","CO_URF","QT_ESTAT","KG_LIQUIDO","VL_FOB"
"1",2018,8,73182400,10,23,"SP",1,817800,492,34,1363
"2",2018,3,19053100,10,845,"SC",7,1010252,10575,10575,13582
"3",2018,3,87141000,10,23,"ND",4,227700,31,31,195
"4",2018,3,39199090,10,63,"MG",7,1017503,5687,5687,30121
"5",2018,8,41044130,15,190,"RS",1,1017700,9581,13110,101826
"6",2018,11,84212990,11,589,"SP",0,817800,39306,10685,81216
"7",2018,10,7103000,10,434,"RS",0,1017700,40,40,94
"8",2018,6,48219000,10,169,"SP",4,817700,2,2,208
"9",2018,7,76072000,10,239,"SP",0,817800,1053,1053,4692
"10",2018,2,40169990,10,249,"SP",4,817700,242,198,29878
"11",2018,7,62046900,11,23,"SP",1,817800,48,18,1267
"12",2018,12,21023000,10,607,"SP",0,817800,2,2,17
"13",2018,1,40161010,10,63,"RJ",7,1017500,5,5,85
"14",2018,3,49119900,10,97,"SP",4,817600,1686,1686,20317
"15",2018,8,40021919,10,576,"RJ",0,717600,22678,22678,34856
"16",2018,11,84099969,11,249,"SP",1,817800,40034,4206,414004
"17",2018,10,64022000,13,586,"MG",7,917500,6204,2178,20168
"18",2018,4,85177099,10,586,"SP",7,917500,1,1,29
"19",2018,11,87089490,10,845,"SP",7,1017701,108,117,2118
"20",2018,12,22029900,17,163,"RS",0,1017800,120,120,128
"21",2018,10,3061190,10,160,"CE",0,817800,9,9,40
"22",2018,1,21011110,21,190,"SP",1,817800,108,108370,651086
"23",2018,10,85365090,11,199,"SP",4,817600,1,0,26
"24",2018,10,94035000,11,317,"PR",1,917800,767,51052,48087
"25",2018,10,84821010,11,169,"RS",1,1017700,513,23,1238
"26",2018,6,84821090,11,586,"SC",9,917500,125,53,993
"27",2018,6,68029390,10,249,"ES",0,817800,4016070,4036466,2601343
"28",2018,6,90329099,10,63,"SP",1,817800,2,2,969
"29",2018,8,84099914,11,169,"SP",0,817800,1219,345,5893
"30",2018,4,33069000,10,239,"SP",1,817800,17073,17073,51587
"31",2018,7,82013000,10,589,"RS",1,1017700,33731,33731,76101
"32",2018,11,16041410,10,538,"SP",0,817800,81,34,212
"33",2018,7,84219999,10,158,"SP",4,817600,11539,2258,74019
"34",2018,7,68029990,10,72,"ES",1,817800,14990,14990,55704
"35",2018,7,62053000,11,249,"RJ",4,717700,7,3,238
"36",2018,4,33072090,10,249,"ES",4,817600,7,7,134
"37",2018,4,70072100,11,63,"SP",1,817800,3358,45202,149293
"38",2018,3,64022000,13,770,"CE",1,317900,18996,6947,61499
"39",2018,4,94018000,11,63,"PE",1,417902,509,1900,8108
"40",2018,2,9011110,21,17,"MG",1,717600,19,19175,46787
"41",2018,10,41041124,15,160,"GO",1,917800,110309,315760,396008
"42",2018,8,9011110,21,161,"SP",1,817800,37,37200,108780
"43",2018,7,94017100,11,177,"RS",1,1017700,6,267,4101
"44",2018,7,73182900,10,63,"RE",4,817600,0,0,1
"45",2018,3,40169300,10,169,"SP",4,817700,1346,1388,54917
"46",2018,3,90192030,10,357,"SP",4,817600,10,220,88929
"47",2018,5,90015000,11,399,"RJ",4,817600,65,3,94
"48",2018,8,70109022,10,628,"SP",1,817800,287850,190,1898
"49",2018,9,87085099,10,493,"SP",0,817800,95713,92962,323204
"50",2018,1,85365090,11,845,"ND",7,1010252,2,0,21
"51",2018,1,9011110,21,87,"MG",1,817800,1624644,7598339,22298584
"52",2018,5,25062000,10,386,"ES",1,727600,1718510,1718510,1187039
"53",2018,4,84339090,10,63,"PR",7,1017503,22439,22439,175328
"54",2018,1,87089300,11,493,"BA",1,817800,10,34,326
"55",2018,10,74040000,10,764,"BA",0,817800,207,207,229
"56",2018,7,85269100,11,249,"ND",9,810800,1,2,8507
